iter	MultiClass
0	1.435084086
1	1.314298066
2	1.229796
3	1.159347298
4	1.099457248
5	1.050181497
6	1.009715226
7	0.9728866671
8	0.9435561138
9	0.9182080378
10	0.8964663533
11	0.8775368829
12	0.8592610594
13	0.8435586793
14	0.8299940375
15	0.814408008
16	0.8035173707
17	0.792159691
18	0.7807693641
19	0.7709714753
20	0.7640762991
21	0.7560018306
22	0.7507617686
23	0.7442230879
24	0.7373402275
25	0.7310673757
26	0.7266859399
27	0.7226031533
28	0.7178033395
29	0.7138159568
30	0.7099924048
31	0.7068499257
32	0.7035236281
33	0.7011557145
34	0.6988466635
35	0.6961501598
36	0.694051594
37	0.6922022562
38	0.6903689458
39	0.6879761784
40	0.686423248
41	0.6843878034
42	0.6831732577
43	0.6808688178
44	0.6793788258
45	0.6772328094
46	0.6763984538
47	0.6750824672
48	0.6746205623
49	0.6733272986
50	0.6725379633
51	0.671863183
52	0.6696181066
53	0.6689912139
54	0.6681695096
55	0.6655708841
56	0.6647486203
57	0.6634033474
58	0.6621538166
59	0.6617934687
60	0.6613338279
61	0.6592072045
62	0.6590929346
63	0.6590139215
64	0.6588585048
65	0.6576548247
66	0.6570109441
67	0.6568420456
68	0.6564646451
69	0.6558150624
70	0.6547917507
71	0.6533305165
72	0.6532750988
73	0.6529041167
74	0.6519680834
75	0.6509481918
76	0.6506324414
77	0.6501680741
78	0.6497470902
79	0.649709395
80	0.6489813278
81	0.6485575493
82	0.6479616169
83	0.6469405043
84	0.6463844778
85	0.6460474367
86	0.645077452
87	0.6443946482
88	0.6441833237
89	0.6434998547
90	0.6431224572
91	0.6419659977
92	0.641528089
93	0.6413439364
94	0.6411509649
95	0.6407601453
96	0.6399211112
97	0.6397358822
98	0.6396229766
99	0.6390246542
100	0.6386064132
101	0.6379916706
102	0.6375402212
103	0.6367513641
104	0.6364708166
105	0.6359936177
106	0.6355182688
107	0.6350648338
108	0.6346569941
109	0.6344196972
110	0.6339588364
111	0.6336219135
112	0.6332012069
113	0.6324154389
114	0.6319646781
115	0.6319231169
116	0.6317115818
117	0.6314885012
118	0.631430619
119	0.6311505029
120	0.6310560837
121	0.6307051556
122	0.630102791
123	0.6295092489
124	0.6289151621
125	0.6284469689
126	0.6280554772
127	0.6278847958
128	0.6275050494
129	0.6267999075
130	0.6266194987
131	0.6262209854
132	0.6258892822
133	0.6257905549
134	0.6252067905
135	0.6248282946
136	0.624777351
137	0.6241384847
138	0.6233686915
139	0.6227735624
140	0.6224609512
141	0.6221816195
142	0.6213199111
143	0.6206900258
144	0.6203297238
145	0.6198642267
146	0.6196420555
147	0.6194478675
148	0.6190755874
149	0.6187188875
150	0.6182991582
151	0.6181382074
152	0.6175523588
153	0.6173036278
154	0.6170836076
155	0.6169631714
156	0.6166764641
157	0.6165825657
158	0.6158590715
159	0.6156652635
160	0.6148988913
161	0.6147441175
162	0.6143821257
163	0.6142558648
164	0.6139436759
165	0.6138395684
166	0.613699689
167	0.6132946934
168	0.6130723543
169	0.6128303679
170	0.6125470856
171	0.6124387075
172	0.6119771373
173	0.6119193352
174	0.6113965963
175	0.611034663
176	0.6105904225
177	0.610451718
178	0.6099437959
179	0.6094219577
180	0.6093071593
181	0.6087839727
182	0.6085915203
183	0.6084950386
184	0.6081289236
185	0.6079756205
186	0.6075111884
187	0.6070663065
188	0.6069341222
189	0.6069141666
190	0.6065387577
191	0.6064950186
192	0.606257827
193	0.6061871205
194	0.605952891
195	0.6057031979
196	0.6056253279
197	0.6053644121
198	0.6052596889
199	0.6051194132
200	0.6050611846
201	0.6047088977
202	0.6046123286
203	0.6045130225
204	0.6042283289
205	0.6039179898
206	0.6038490816
207	0.6036308604
208	0.6031803745
209	0.603071757
210	0.6029813617
211	0.6027879268
212	0.6024552152
213	0.6024017481
214	0.6022404106
215	0.6021544381
216	0.6020350515
217	0.6016284187
218	0.6013577529
219	0.6009693686
220	0.6009045777
221	0.6007153525
222	0.6006213345
223	0.6003319389
224	0.6003176674
225	0.6001193349
226	0.599768729
227	0.5995940879
228	0.5995397496
229	0.5994776608
230	0.5992852171
231	0.5992649096
232	0.599073623
233	0.5986176853
234	0.5985345989
