iter	Passed	Remaining
0	217	217313
1	376	187764
2	475	157933
3	640	159448
4	804	160170
5	1068	176959
6	1230	174597
7	1393	172764
8	1497	164941
9	1622	160612
10	1898	170720
11	1964	161739
12	2024	153722
13	2076	146246
14	2164	142142
15	2255	138708
16	2345	135632
17	2440	133127
18	2504	129299
19	2564	125644
20	2618	122063
21	2769	123102
22	2972	126258
23	3147	127996
24	3250	126778
25	3316	124248
26	3370	121475
27	3426	118951
28	3505	117386
29	3573	115558
30	3631	113501
31	3694	111751
32	3804	111470
33	3947	112154
34	4151	114467
35	4423	118456
36	4741	123399
37	4918	124516
38	5008	123409
39	5087	122092
40	5158	120649
41	5286	120584
42	5409	120395
43	5530	120156
44	5717	121342
45	5836	121039
46	5891	119464
47	5944	117906
48	5995	116355
49	6045	114855
50	6103	113566
51	6155	112220
52	6209	110948
53	6278	109981
54	6327	108718
55	6386	107651
56	6433	106443
57	6502	105610
58	6571	104812
59	6619	103705
60	6701	103163
61	6808	103008
62	6881	102347
63	6937	101459
64	7003	100736
65	7090	100347
66	7144	99489
67	7195	98625
68	7249	97810
69	7361	97800
70	7434	97274
71	7545	97248
72	7661	97296
73	7741	96876
74	7824	96501
75	7927	96381
76	7995	95842
77	8048	95136
78	8102	94466
79	8161	93852
80	8256	93673
81	8331	93276
82	8461	93482
83	8527	92995
84	8587	92442
85	8638	91814
86	8716	91473
87	8775	90944
88	8828	90372
89	8890	89891
90	8968	89590
91	9027	89096
92	9088	88633
93	9144	88133
94	9208	87725
95	9270	87301
96	9328	86840
97	9384	86378
98	9435	85872
99	9499	85495
100	9550	85013
101	9610	84607
102	9770	85088
103	9841	84790
104	9906	84439
105	10051	84769
106	10123	84488
107	10184	84117
108	10241	83719
109	10316	83469
110	10369	83047
111	10418	82606
112	10474	82218
113	10599	82379
114	10665	82077
115	10711	81628
116	10765	81246
117	10828	80936
118	10940	80995
119	11182	82003
120	11246	81697
121	11310	81399
122	11381	81149
123	11472	81047
124	11551	80858
125	11622	80618
126	11771	80915
127	11955	81447
128	12065	81462
129	12154	81338
130	12272	81412
131	12443	81824
132	12559	81874
133	12677	81930
134	12893	82613
135	12953	82292
136	13051	82214
137	13127	81997
138	13317	82494
139	13469	82742
140	13528	82416
141	13578	82042
142	13636	81723
143	13737	81659
144	13791	81323
145	13850	81015
146	13904	80682
147	13957	80349
148	14036	80168
149	14090	79843
150	14244	80090
151	14369	80169
152	14445	79967
153	14519	79765
154	14571	79439
155	14623	79116
156	14713	79005
157	14769	78709
158	14974	79205
159	15073	79135
160	15179	79101
161	15353	79421
162	15461	79393
163	15568	79360
164	15623	79062
165	15672	78740
166	15744	78534
167	15800	78248
168	15847	77924
169	15918	77720
170	15970	77422
171	16023	77134
172	16075	76848
173	16123	76540
174	16203	76385
175	16344	76521
176	16484	76646
177	16544	76401
178	16624	76250
179	16692	76042
180	16754	75813
181	16826	75628
182	16886	75387
183	16937	75113
184	17006	74922
185	17057	74648
186	17148	74555
187	17202	74301
188	17279	74146
189	17325	73862
190	17384	73634
191	17430	73354
192	17584	73528
193	17785	73894
194	17921	73984
195	18043	74016
196	18091	73742
197	18144	73493
198	18195	73241
199	18258	73034
200	18325	72847
201	18382	72621
202	18431	72363
203	18487	72135
204	18613	72183
205	18671	71965
206	18714	71695
207	18787	71535
208	18839	71302
209	18888	71057
210	18940	70825
211	19004	70637
212	19055	70408
213	19104	70167
214	19166	69979
215	19219	69760
216	19272	69540
217	19336	69361
218	19407	69211
219	19467	69022
220	19511	68777
221	19562	68555
222	19618	68358
223	19691	68216
224	19739	67990
225	19787	67769
226	19848	67588
227	19910	67416
228	19954	67184
229	20006	66979
230	20058	66775
231	20122	66613
232	20172	66405
233	20227	66213
234	20279	66017
235	20346	65868
236	20398	65671
237	20441	65448
238	20487	65232
239	20546	65064
240	20601	64881
241	20648	64676
242	20707	64508
243	20779	64381
244	20839	64219
245	20884	64011
246	20951	63872
247	20998	63673
248	21043	63469
249	21093	63281
250	21151	63117
251	21284	63178
252	21441	63307
253	21539	63260
254	21583	63057
255	21638	62886
256	21703	62745
257	21763	62591
258	21824	62439
259	22089	62870
260	22204	62870
261	22337	62919
262	22428	62852
263	22571	62927
264	22664	62862
265	22729	62719
266	22779	62536
267	22847	62403
268	22902	62236
269	22954	62063
270	23072	62066
271	23141	61938
272	23213	61817
273	23302	61742
274	23483	61911
275	23592	61887
276	23662	61761
277	23745	61670
278	23839	61606
279	23895	61446
280	23951	61284
281	24004	61118
282	24062	60963
283	24128	60830
284	24187	60680
285	24260	60567
286	24445	60730
287	24501	60573
288	24556	60414
289	24654	60360
290	24745	60290
291	24961	60523
292	25022	60379
293	25093	60258
294	25164	60138
295	25248	60051
296	25337	59974
297	25444	59940
298	25617	60059
299	25780	60154
300	25902	60152
301	26093	60308
302	26384	60693
303	26570	60833
304	26811	61094
305	26934	61087
306	27056	61074
307	27206	61126
308	27342	61143
309	27392	60969
310	27443	60799
311	27599	60860
312	27690	60777
313	27869	60887
314	28025	60945
315	28188	61014
316	28266	60902
317	28358	60820
318	28532	60912
319	28691	60968
320	28801	60923
321	28876	60803
322	28952	60682
323	29009	60525
324	29061	60358
325	29108	60181
326	29162	60019
327	29207	59838
328	29260	59677
329	29306	59501
330	29347	59315
331	29397	59149
332	29440	58970
333	29492	58809
334	29543	58646
335	29588	58473
336	29637	58306
337	29688	58147
338	29738	57985
339	29790	57828
340	29832	57652
341	29902	57532
342	29996	57456
343	30155	57505
344	30207	57351
345	30263	57202
346	30324	57065
347	30397	56952
348	30560	57005
349	30641	56905
350	30751	56859
351	30812	56723
352	30854	56552
353	30900	56388
354	30946	56225
355	30994	56068
356	31054	55932
357	31124	55815
358	31349	55975
359	31411	55842
360	31568	55879
361	31683	55839
362	31844	55880
363	31908	55751
364	32019	55705
365	32128	55653
366	32183	55509
367	32243	55374
368	32313	55256
369	32598	55505
370	32667	55385
371	32713	55226
372	32766	55079
373	32812	54921
374	32860	54767
375	32906	54611
376	32953	54456
377	33001	54304
378	33065	54179
379	33307	54343
380	33414	54287
381	33507	54209
382	33638	54189
383	33712	54080
384	34048	54389
385	34280	54529
386	34412	54509
387	34503	54423
388	34579	54313
389	34631	54167
390	34694	54037
391	34767	53924
392	34819	53780
393	34871	53634
394	35130	53806
395	35181	53661
396	35262	53559
397	35354	53476
398	35428	53364
399	35497	53246
400	35602	53181
401	35743	53170
402	35952	53260
403	36101	53258
404	36283	53305
405	36379	53224
406	36483	53155
407	36575	53070
408	36635	52938
409	36687	52794
410	36745	52660
411	36876	52629
412	37021	52619
413	37174	52619
414	37276	52546
415	37422	52535
416	37496	52423
417	37552	52285
418	37608	52148
419	37675	52028
420	37734	51896
421	37782	51749
422	37835	51610
423	37881	51462
424	37958	51355
425	38014	51221
426	38070	51087
427	38141	50974
428	38196	50839
429	38256	50712
430	38310	50576
431	38377	50459
432	38434	50329
433	38487	50193
434	38540	50057
435	38599	49931
436	38658	49804
437	38707	49666
438	38759	49530
439	38813	49398
440	38872	49273
441	38920	49134
442	38975	49005
443	39028	48874
444	39097	48761
445	39151	48632
446	39197	48493
447	39246	48357
448	39323	48257
449	39379	48130
450	39430	47999
451	39489	47876
452	39555	47763
453	39605	47631
454	39659	47503
455	39705	47368
456	39766	47250
457	39815	47118
458	39863	46985
459	39910	46851
460	39975	46739
461	40030	46615
462	40093	46501
463	40162	46394
464	40211	46265
465	40264	46139
466	40319	46017
467	40365	45885
468	40427	45771
469	40478	45645
470	40533	45524
471	40597	45414
472	40654	45295
473	40697	45161
474	40751	45041
475	40809	44925
476	40884	44826
477	40930	44698
478	40975	44568
479	41018	44437
480	41080	44326
481	41133	44205
482	41190	44090
483	41271	44000
484	41319	43874
485	41372	43755
486	41421	43632
487	41466	43506
488	41521	43389
489	41572	43269
490	41618	43144
491	41672	43027
492	41724	42909
493	41789	42804
494	41833	42678
495	41881	42557
496	41928	42434
497	41997	42335
498	42043	42211
499	42101	42101
500	42169	42000
501	42214	41877
502	42261	41757
503	42307	41636
504	42371	41532
505	42435	41429
506	42488	41314
507	42540	41200
508	42603	41096
509	42664	40991
510	42714	40875
511	42759	40754
512	42803	40634
513	42866	40531
514	42917	40417
515	42963	40299
516	43014	40185
517	43081	40087
518	43131	39973
519	43189	39866
520	43248	39762
521	43309	39658
522	43360	39547
523	43405	39429
524	43457	39319
525	43529	39226
526	43582	39117
527	43633	39005
528	43709	38916
529	43758	38804
530	43813	38697
531	43860	38583
532	43917	38479
533	43996	38393
534	44046	38283
535	44093	38170
536	44152	38068
537	44209	37964
538	44259	37854
539	44307	37743
540	44352	37629
541	44421	37536
542	44482	37437
543	44537	37333
544	44591	37227
545	44648	37125
546	44701	37019
547	44742	36904
548	44788	36793
549	44858	36702
550	44906	36593
551	44960	36489
552	45010	36383
553	45064	36279
554	45133	36187
555	45197	36093
556	45264	35999
557	45333	35909
558	45383	35803
559	45430	35695
560	45482	35591
561	45530	35484
562	45604	35398
563	45660	35297
564	45716	35197
565	45775	35100
566	45829	34998
567	45895	34906
568	45956	34810
569	46001	34702
570	46069	34612
571	46124	34512
572	46170	34406
573	46217	34301
574	46281	34208
575	46574	34283
576	46635	34188
577	46699	34095
578	46750	33992
579	46808	33895
580	46871	33802
581	46917	33696
582	46971	33597
583	47009	33486
584	47062	33385
585	47104	33278
586	47151	33174
587	47197	33070
588	47308	33011
589	47350	32904
590	47393	32798
591	47453	32704
592	47778	32792
593	47908	32745
594	47959	32644
595	48013	32546
596	48091	32463
597	48131	32355
598	48179	32253
599	48222	32148
600	48268	32045
601	48318	31944
602	48366	31843
603	48413	31741
604	48472	31647
605	48512	31540
606	48561	31440
607	48607	31339
608	48648	31234
609	48687	31128
610	48748	31036
611	48801	30939
612	48845	30837
613	48887	30733
614	48941	30638
615	48991	30539
616	49036	30439
617	49087	30342
618	49151	30253
619	49224	30170
620	49277	30074
621	49327	29977
622	49370	29876
623	49415	29776
624	49455	29673
625	49504	29575
626	49556	29481
627	49600	29381
628	49644	29281
629	49692	29184
630	49732	29082
631	49780	28986
632	49825	28887
633	49866	28787
634	49913	28690
635	49953	28589
636	50009	28498
637	50056	28402
638	50104	28306
639	50158	28214
640	50200	28115
641	50248	28020
642	50292	27922
643	50342	27829
644	50382	27730
645	50429	27634
646	50487	27545
647	50538	27453
648	50583	27357
649	50621	27257
650	50667	27162
651	50713	27067
652	50759	26973
653	50805	26878
654	50855	26786
655	50903	26693
656	50986	26618
657	51044	26530
658	51083	26433
659	51122	26335
660	51169	26242
661	51224	26153
662	51271	26061
663	51321	25969
664	51366	25876
665	51408	25781
666	51459	25691
667	51504	25598
668	51547	25504
669	51593	25411
670	51641	25320
671	51689	25229
672	51733	25136
673	51777	25043
674	51818	24949
675	51858	24855
676	51907	24765
677	51955	24675
678	51997	24582
679	52046	24492
680	52087	24399
681	52131	24307
682	52180	24218
683	52226	24128
684	52275	24039
685	52313	23945
686	52361	23856
687	52408	23766
688	52449	23674
689	52499	23586
690	52543	23496
691	52596	23409
692	52642	23320
693	52692	23233
694	52742	23145
695	52786	23055
696	52834	22968
697	52883	22880
698	52928	22791
699	52972	22702
700	53023	22616
701	53075	22530
702	53124	22443
703	53171	22356
704	53211	22265
705	53250	22175
706	53299	22088
707	53348	22002
708	53400	21917
709	53446	21830
710	53493	21743
711	53547	21659
712	53592	21572
713	53646	21488
714	53696	21403
715	53746	21318
716	53807	21237
717	53852	21150
718	53899	21064
719	53953	20981
720	54009	20899
721	54106	20833
722	54157	20749
723	54203	20663
724	54253	20578
725	54298	20492
726	54340	20405
727	54391	20321
728	54438	20237
729	54490	20154
730	54540	20070
731	54586	19985
732	54627	19898
733	54666	19811
734	54713	19726
735	54759	19641
736	54799	19555
737	54845	19471
738	54891	19386
739	54945	19305
740	54989	19220
741	55036	19136
742	55078	19051
743	55124	18967
744	55178	18886
745	55229	18804
746	55288	18725
747	55340	18643
748	55388	18561
749	55438	18479
750	55482	18395
751	55522	18310
752	55559	18224
753	55615	18145
754	55662	18062
755	55708	17980
756	55749	17895
757	55796	17813
758	55846	17732
759	55892	17650
760	55930	17565
761	55969	17481
762	56022	17401
763	56070	17320
764	56108	17236
765	56179	17161
766	56296	17101
767	56351	17022
768	56397	16941
769	56447	16861
770	56502	16782
771	56546	16700
772	56589	16618
773	56635	16537
774	56685	16457
775	56797	16395
776	56850	16316
777	56894	16234
778	56940	16153
779	56984	16072
780	57027	15991
781	57072	15910
782	57119	15829
783	57162	15748
784	57210	15669
785	57260	15589
786	57309	15510
787	57354	15430
788	57404	15351
789	57444	15270
790	57494	15191
